ID,AttackDamage,AbilityPower,CriticalHitRate,CriticalDamageRate,HealthMax,HealthRegen,RageMax,RageRegen,VitalMax,VitalRegen,ManaMax,ManaRegen,Armor,MagicResist,ArmorPenetration,MagicPenetration,Stamina
1,250,0,0.03,2,13500,50,100,-0.8,0,0,0,0,600,400,25,0,55
2,260,260,0.05,2,12000,44,0,0,100,0.5,0,0,440,440,75,75,55
3,0,360,0.12,1.5,10650,38,0,0,0,0,800,50,380,500,0,50,55
101,530,0,0.12,1.2,1970,0,0,0,0,0,0,0,1500,1000,0,0,0
102,780,0,0.12,1.2,4040,0,0,0,0,0,0,0,3000,2400,0,0,0
103,1510,0,0.12,1.2,7160,0,0,0,0,0,0,0,500,500,0,0,0
104,900,0,0.12,1.2,3080,0,0,0,0,0,0,0,1700,1700,0,0,0
105,930,0,0.12,1.2,1660,0,0,0,0,0,0,0,1300,1500,0,0,0
106,550,0,0.24,1.4,2100,0,0,0,0,0,0,0,1500,2200,0,0,0
111,940,0,0.12,1.2,7990,0,0,0,0,0,0,0,1800,1300,0,0,0
112,1240,0,0.12,1.2,11710,0,0,0,0,0,0,0,3300,2700,0,0,0
113,2110,0,0.12,1.2,15910,0,0,0,0,0,0,0,800,800,0,0,0
114,1380,0,0.12,1.2,11020,0,0,0,0,0,0,0,2000,2000,0,0,0
115,1420,0,0.12,1.2,9590,0,0,0,0,0,0,0,1600,1800,0,0,0
116,960,0,0.24,1.4,9900,0,0,0,0,0,0,0,1800,2500,0,0,0
151,990,0,0.12,1.2,4280,0,0,0,0,0,0,0,5100,3400,1580,0,0
152,1450,0,0.12,1.2,7750,0,0,0,0,0,0,0,10200,8160,3360,0,0
153,2810,0,0.12,1.2,16850,0,0,0,0,0,0,0,1700,1700,6000,0,0
154,1670,0,0.12,1.2,6420,0,0,0,0,0,0,0,5780,5780,3460,0,0
155,1730,0,0.12,1.2,3560,0,0,0,0,0,0,0,4420,5100,960,0,0
156,1020,0,0.24,1.4,4330,0,0,0,0,0,0,0,5100,7480,1580,0,0
161,1740,0,0.12,1.2,21070,0,0,0,0,0,0,0,5900,4200,1740,0,0
162,2300,0,0.12,1.2,21570,0,0,0,0,0,0,0,11000,8960,3700,0,0
163,3930,0,0.12,1.2,35190,0,0,0,0,0,0,0,2500,2500,6600,0,0
164,2560,0,0.12,1.2,22130,0,0,0,0,0,0,0,6580,6580,3810,0,0
165,2630,0,0.12,1.2,20020,0,0,0,0,0,0,0,5220,5900,1060,0,0
166,1780,0,0.24,1.4,19790,0,0,0,0,0,0,0,5900,8280,1740,0,0
201,1230,0,0.12,1.2,5800,0,0,0,0,0,0,0,6000,4000,1320,0,0
202,1820,0,0.12,1.2,10260,0,0,0,0,0,0,0,12000,9600,2800,0,0
203,3520,0,0.12,1.2,23250,0,0,0,0,0,0,0,2000,2000,5000,0,0
204,2100,0,0.12,1.2,8630,0,0,0,0,0,0,0,6800,6800,2880,0,0
205,2170,0,0.12,1.2,4810,0,0,0,0,0,0,0,5200,6000,800,0,0
206,1280,0,0.24,1.4,5800,0,0,0,0,0,0,0,6000,8800,1320,0,0
