LV,EXP,SUM_EXP
1,500,500
2,990,1490
3,1960,3450
4,3560,7010
5,5960,12970
6,9340,22310
7,13890,36200
8,19820,56020
9,27370,83390
10,36790,120180
11,48370,168550
12,62420,230970
13,79300,310270
14,99390,409660
15,123120,532780
16,150980,683760
17,183500,867260
18,221280,1088540
19,264980,1353520
20,315340,1668860
21,373190,2042050
22,439440,2481490
23,515130,2996620
24,601390,3598010
25,699510,4297520
26,810910,5108430
27,937170,6045600
28,1080070,7125670
29,1241580,8367250
30,1423910,9791160
31,1629520,11420680
32,1861160,13281840
33,2121890,15403730
34,2415130,17818860
35,2744690,20563550
36,3114830,23678380
37,3530300,27208680
38,3996400,31205080
39,4519050,35724130
40,0,35724130
