id,Name,GroupID,IconName,Type_1,Type_2,MethodArg,MaxPoint,Need_GroupID,Need_Group_Point,NeedIDs,FormatString,IncValue,UnitString,Desc
1,치명상,1,001,Passive,Warrior_01,,5,0,0,0,치명타 확률 {0:##0.#}{1}증가,0.01,%,치명타 확률이 증가합니다.
2,포효,1,002,Passive,Warrior_02,Skill01,5,0,0,0,날카로운 고함의\n분노 소모량 {0:##0.#}{1},2,,날카로운 고함의 분노 소모량이 감소합니다.
3,피의 냄새,1,003,Passive,Warrior_03,,5,1,5,0,생명력이 50%이하인 적에게 {0:##0.#}{1} 추가 피해,0.03,%,생명력이 50%이하인 적에게 주는 피해가 증가합니다.
4,분노 해방,1,004,Passive,Warrior_04,,5,1,5,0,피해를 입었을 때 생성되는 분노 {0:##0.#}{1} 증가,0.05,%,피해를 입었을 때 생성되는 분노의 양이 증가합니다.
5,도끼폭풍,1,005,Active,Warrior_05,AttackB_1;AttackB_1;40;7;special_wa01;FX_character_s_att_warrior,1,1,10,0,전방으로 빠르게 3회 회전하며 공격을 퍼붓는 난폭한 기술,,,분노 소모 : 40                      \n피해량 : 공격력의 550%        \n방어-회피 불가/저지하기 힘듦 
6,도끼 전문가,1,006,Passive,Warrior_06,,5,1,15,0,도끼를 사용 할 때 공격력 {0:##0.#}{1}증가,0.02,%,도끼를 사용 할 때 공격력이 증가합니다.
7,폭풍강타,1,007,Passive,Warrior_07,,5,1,15,5,도끼폭풍 재사용 대기시간 :\n{0:##0.#}{1},0.4,초,도끼폭풍의\n재사용 대기시간이 감소합니다.
8,상처입은 야수,1,008,Passive,Warrior_08,,5,1,15,0,생명력 35%이하 일 때 공격력 {0:##0.#}{1}증가,0.08,%,자신의 생명력이 35%이하 일 때 공격력이 상승합니다.
9,격노,1,009,Passive,Warrior_09,,5,1,20,0,광전사 모드 일 때 공격력 {0:##0.#}{1},0.04,%,광전사 모드 일 때 공격력이 더욱 증가합니다.
10,갈망,1,010,Passive,Warrior_10,,5,1,30,9,최대 분노 : {0:##0.#}{1},10,,분노의 최대량이 증가 합니다.
11,완력,2,011,Passive,Warrior_11,,5,0,0,0,공격력 {0:##0.#}{1}증가,0.012,%,공격력이 증가합니다.
12,산울림,2,012,Passive,Warrior_12,Skill01,5,0,0,0,날카로운 고함의 피해량\n{0:##0.#}{1} 증가,0.02,%,날카로운 고함의 피해량이 증가합니다.
