ID,Material1,Material1_drop rate,Material2,Material2_drop rate,Material3,Material3_drop rate,Material4,Material4_drop rate,Potion,Potion_drop rate,gem,gem_drop rate,gold,gold_drop rate,EventRate,EventDropID,,
101,,0,,0,,0,,0,900001,0,1,0,50,1,0.08,10001,,
102,,0,,0,,0,,0,900001,0,1,0,107,1,0.16,10001,,
103,,0,,0,,0,,0,900001,0,1,0,176,1,0.18,10001,,
104,,0,,0,,0,,0,900001,0,1,0,95,1,0.16,10001,,
105,,0,,0,,0,,0,900001,0,1,0,63,1,0.12,10001,,
106,,0,,0,,0,,0,900001,0,1,0,69,1,0.16,10001,,
111,,0,,0,,0,,0,900001,0,1,0,236,1,0.1,10001,,
112,,0,,0,,0,,0,900001,0,1,0,322,1,0.1,10001,,
113,,0,,0,,0,,0,900001,0,1,0,425,1,0.1,10001,,
114,,0,,0,,0,,0,900001,0,1,0,304,1,0.1,10001,,
115,,0,,0,,0,,0,900001,0,1,0,256,1,0.1,10001,,
116,,0,,0,,0,,0,900001,0,1,0,265,1,0.1,10001,,
151,,0,,0,,0,,0,900001,0,1,0,65,1,0.08,10001,,
152,,0,,0,,0,,0,900001,0,1,0,139,1,0.16,10001,,
153,,0,,0,,0,,0,900001,0,1,0,229,1,0.18,10001,,
154,,0,,0,,0,,0,900001,0,1,0,124,1,0.16,10001,,
155,,0,,0,,0,,0,900001,0,1,0,82,1,0.12,10001,,
156,,0,,0,,0,,0,900001,0,1,0,90,1,0.16,10001,,
161,,0,,0,,0,,0,900001,0,1,0,307,1,0.1,10001,,
162,,0,,0,,0,,0,900001,0,1,0,417,1,0.1,10001,,
163,,0,,0,,0,,0,900001,0,1,0,687,1,0.1,10001,,
164,,0,,0,,0,,0,900001,0,1,0,372,1,0.1,10001,,
165,,0,,0,,0,,0,900001,0,1,0,246,1,0.1,10001,,
166,,0,,0,,0,,0,900001,0,1,0,270,1,0.1,10001,,
201,,0,,0,,0,,0,900001,0,1,0,66,1,0.08,10002,,
202,,0,,0,,0,,0,900001,0,1,0,139,1,0.16,10002,,
203,,0,,0,,0,,0,900001,0,1,0,229,1,0.18,10002,,
204,,0,,0,,0,,0,900001,0,1,0,123,1,0.16,10002,,
205,,0,,0,,0,,0,900001,0,1,0,82,1,0.12,10002,,
206,,0,,0,,0,,0,900001,0,1,0,90,1,0.16,10002,,
207,,0,,0,,0,,0,900001,0,1,0,156,1,0.18,10002,,
208,,0,,0,,0,,0,900001,0,1,0,164,1,0.18,10002,,
211,,0,,0,,0,,0,900001,0,1,0,308,1,0.1,10002,,
212,,0,,0,,0,,0,900001,0,1,0,418,1,0.1,10002,,
213,,0,,0,,0,,0,900001,0,1,0,553,1,0.1,10002,,
214,,0,,0,,0,,0,900001,0,1,0,394,1,0.1,10002,,
215,,0,,0,,0,,0,900001,0,1,0,332,1,0.1,10002,,
216,,0,,0,,0,,0,900001,0,1,0,344,1,0.1,10002,,
217,,0,,0,,0,,0,900001,0,1,0,443,1,0.1,10002,,
218,,0,,0,,0,,0,900001,0,1,0,455,1,0.1,10002,,
251,,0,,0,,0,,0,900001,0,1,0,86,1,0.08,10002,,
252,,0,,0,,0,,0,900001,0,1,0,181,1,0.16,10002,,
253,,0,,0,,0,,0,900001,0,1,0,298,1,0.18,10002,,
254,,0,,0,,0,,0,900001,0,1,0,160,1,0.16,10002,,
255,,0,,0,,0,,0,900001,0,1,0,107,1,0.12,10002,,
256,,0,,0,,0,,0,900001,0,1,0,117,1,0.16,10002,,
257,,0,,0,,0,,0,900001,0,1,0,203,1,0.18,10002,,
258,,0,,0,,0,,0,900001,0,1,0,213,1,0.18,10002,,
261,,0,,0,,0,,0,900001,0,1,0,401,1,0.1,10002,,
262,,0,,0,,0,,0,900001,0,1,0,544,1,0.1,10002,,
263,,0,,0,,0,,0,900001,0,1,0,719,1,0.1,10002,,
264,,0,,0,,0,,0,900001,0,1,0,512,1,0.1,10002,,
265,,0,,0,,0,,0,900001,0,1,0,433,1,0.1,10002,,
266,,0,,0,,0,,0,900001,0,1,0,448,1,0.1,10002,,
267,,0,,0,,0,,0,900001,0,1,0,577,1,0.1,10002,,
268,,0,,0,,0,,0,900001,0,1,0,592,1,0.1,10002,,
301,,0,,0,,0,,0,900001,0,1,0,85,1,0.12,10003,,
302,,0,,0,,0,,0,900001,0,1,0,181,1,0.24,10003,,
304,,0,,0,,0,,0,900001,0,1,0,160,1,0.24,10003,,
305,,0,,0,,0,,0,900001,0,1,0,106,1,0.18,10003,,
306,,0,,0,,0,,0,900001,0,1,0,117,1,0.24,10003,,
307,,0,,0,,0,,0,900001,0,1,0,202,1,0.27,10003,,
308,,0,,0,,0,,0,900001,0,1,0,213,1,0.27,10003,,
311,,0,,0,,0,,0,900001,0,1,0,350,1,0.1,10003,,
312,,0,,0,,0,,0,900001,0,1,0,494,1,0.1,10003,,
314,,0,,0,,0,,0,900001,0,1,0,462,1,0.1,10003,,
315,,0,,0,,0,,0,900001,0,1,0,381,1,0.1,10003,,
316,,0,,0,,0,,0,900001,0,1,0,398,1,0.1,10003,,
317,,0,,0,,0,,0,900001,0,1,0,525,1,0.1,10003,,
318,,0,,0,,0,,0,900001,0,1,0,542,1,0.1,10003,,
351,,0,,0,,0,,0,900001,0,1,0,111,1,0.12,10003,,
352,,0,,0,,0,,0,900001,0,1,0,235,1,0.24,10003,,
354,,0,,0,,0,,0,900001,0,1,0,208,1,0.24,10003,,
355,,0,,0,,0,,0,900001,0,1,0,138,1,0.18,10003,,
356,,0,,0,,0,,0,900001,0,1,0,152,1,0.24,10003,,
357,,0,,0,,0,,0,900001,0,1,0,263,1,0.27,10003,,
358,,0,,0,,0,,0,900001,0,1,0,277,1,0.27,10003,,
361,,0,,0,,0,,0,900001,0,1,0,455,1,0.1,10003,,
362,,0,,0,,0,,0,900001,0,1,0,641,1,0.1,10003,,
364,,0,,0,,0,,0,900001,0,1,0,600,1,0.1,10003,,
365,,0,,0,,0,,0,900001,0,1,0,495,1,0.1,10003,,
366,,0,,0,,0,,0,900001,0,1,0,516,1,0.1,10003,,
367,,0,,0,,0,,0,900001,0,1,0,683,1,0.1,10003,,
368,,0,,0,,0,,0,900001,0,1,0,704,1,0.1,10003,,
401,,0,,0,,0,,0,900001,0,1,0,111,1,0.08,10004,,
403,,0,,0,,0,,0,900001,0,1,0,388,1,0.16,10004,,
404,,0,,0,,0,,0,900001,0,1,0,208,1,0.16,10004,,
405,,0,,0,,0,,0,900001,0,1,0,138,1,0.12,10004,,
406,,0,,0,,0,,0,900001,0,1,0,152,1,0.16,10004,,
408,,0,,0,,0,,0,900001,0,1,0,277,1,0.18,10004,,
409,,0,,0,,0,,0,900001,0,1,0,346,1,0.18,10004,,
411,,0,,0,,0,,0,900001,0,1,0,520,1,0.1,10004,,
413,,0,,0,,0,,0,900001,0,1,0,935,1,0.1,10004,,
414,,0,,0,,0,,0,900001,0,1,0,665,1,0.1,10004,,
415,,0,,0,,0,,0,900001,0,1,0,560,1,0.1,10004,,
416,,0,,0,,0,,0,900001,0,1,0,581,1,0.1,10004,,
418,,0,,0,,0,,0,900001,0,1,0,769,1,0.1,10004,,
419,,0,,0,,0,,0,900001,0,1,0,872,1,0.1,10004,,
451,,0,,0,,0,,0,900001,0,1,0,144,1,0.08,10004,,
453,,0,,0,,0,,0,900001,0,1,0,504,1,0.16,10004,,
454,,0,,0,,0,,0,900001,0,1,0,270,1,0.16,10004,,
455,,0,,0,,0,,0,900001,0,1,0,179,1,0.12,10004,,
456,,0,,0,,0,,0,900001,0,1,0,198,1,0.16,10004,,
458,,0,,0,,0,,0,900001,0,1,0,360,1,0.18,10004,,
459,,0,,0,,0,,0,900001,0,1,0,450,1,0.18,10004,,
461,,0,,0,,0,,0,900001,0,1,0,675,1,0.1,10004,,
463,,0,,0,,0,,0,900001,0,1,0,1215,1,0.1,10004,,
464,,0,,0,,0,,0,900001,0,1,0,864,1,0.1,10004,,
465,,0,,0,,0,,0,900001,0,1,0,728,1,0.1,10004,,
466,,0,,0,,0,,0,900001,0,1,0,756,1,0.1,10004,,
468,,0,,0,,0,,0,900001,0,1,0,999,1,0.1,10004,,
469,,0,,0,,0,,0,900001,0,1,0,1134,1,0.1,10004,,
181,,0,,0,,0,,0,900001,0,1,0.1,1200,0.9,0,,,
182,,0,,0,,0,,0,900001,0,1,0.1,1440,0.9,0,,,
191,,0,,0,,0,,0,900001,0,1,0.15,1680,0.85,0,,,
192,,0,,0,,0,,0,900001,0,1,0.15,2020,0.85,0,,,
281,,0,,0,,0,,0,900001,0,1,0.15,1680,0.85,0,,,
282,,0,,0,,0,,0,900001,0,1,0.15,1920,0.85,0,,,
291,,0,,0,,0,,0,900001,0,1,0.23,2350,0.77,0,,,
292,,0,,0,,0,,0,900001,0,1,0.23,2690,0.77,0,,,
381,,0,,0,,0,,0,900001,0,1,0.23,2160,0.77,0,,,
382,,0,,0,,0,,0,900001,0,1,0.23,2400,0.77,0,,,
391,,0,,0,,0,,0,900001,0,1,0.35,3020,0.65,0,,,
392,,0,,0,,0,,0,900001,0,1,0.35,3360,0.65,0,,,
481,,0,,0,,0,,0,900001,0,1,0.35,2640,0.65,0,,,
482,,,,,,,,,,,,,,,,,,
483,,0,,0,,0,,0,900001,0,1,0.35,2880,0.65,0,,,
491,,0,,0,,0,,0,900001,0,1,0.35,3700,0.65,0,,,
492,,,,,,,,,,,,,,,,,,
493,,0,,0,,0,,0,900001,0,1,0.35,4030,0.65,0,,,
1001,,0,,0,,0,,0,90001,0,1,0,720,1,0,,,
1002,,0,,0,,0,,0,90001,0,1,0,1080,1,0,,,
1003,,0,,0,,0,,0,90001,0,1,0,1440,1,0,,,
1004,,0,,0,,0,,0,90001,0,1,0,2160,1,0,,,
1005,,0,,0,,0,,0,90001,0,1,0,2160,1,0,,,
1006,,0,,0,,0,,0,90001,0,1,0,2520,1,0,,,
1007,,0,,0,,0,,0,90001,0,1,0,2880,1,0,,,
1008,,0,,0,,0,,0,90001,0,1,0,3240,1,0,,,
121,,0,,0,,0,,0,900001,0,1,0,187,1,0.08,10001,,
122,,0,,0,,0,,0,900001,0,1,0,398,1,0.14,10001,,
123,,0,,0,,0,,0,900001,0,1,0,655,1,0.16,10001,,
124,,0,,0,,0,,0,900001,0,1,0,351,1,0.14,10001,,
125,,0,,0,,0,,0,900001,0,1,0,234,1,0.14,10001,,
126,,0,,0,,0,,0,900001,0,1,0,257,1,0.12,10001,,
131,,0,,0,,0,,0,900001,0,1,0,878,1,0.04,10001,,
132,,0,,0,,0,,0,900001,0,1,0,1194,1,0.07,10001,,
133,,0,,0,,0,,0,900001,0,1,0,1580,1,0.08,10001,,
134,,0,,0,,0,,0,900001,0,1,0,1124,1,0.07,10001,,
135,,0,,0,,0,,0,900001,0,1,0,948,1,0.07,10001,,
136,,0,,0,,0,,0,900001,0,1,0,983,1,0.06,10001,,
221,,0,,0,,0,,0,900001,0,1,0,225,1,0.08,10002,,
222,,0,,0,,0,,0,900001,0,1,0,477,1,0.14,10002,,
223,,0,,0,,0,,0,900001,0,1,0,786,1,0.16,10002,,
224,,0,,0,,0,,0,900001,0,1,0,421,1,0.14,10002,,
225,,0,,0,,0,,0,900001,0,1,0,281,1,0.14,10002,,
226,,0,,0,,0,,0,900001,0,1,0,309,1,0.12,10002,,
227,,0,,0,,0,,0,900001,0,1,0,533,1,0.16,10002,,
228,,0,,0,,0,,0,900001,0,1,0,561,1,0.16,10002,,
231,,0,,0,,0,,0,900001,0,1,0,1054,1,0.04,10002,,
232,,0,,0,,0,,0,900001,0,1,0,1432,1,0.07,10002,,
233,,0,,0,,0,,0,900001,0,1,0,1895,1,0.08,10002,,
234,,0,,0,,0,,0,900001,0,1,0,1348,1,0.07,10002,,
235,,0,,0,,0,,0,900001,0,1,0,1138,1,0.07,10002,,
236,,0,,0,,0,,0,900001,0,1,0,1180,1,0.06,10002,,
237,,0,,0,,0,,0,900001,0,1,0,1516,1,0.08,10002,,
238,,0,,0,,0,,0,900001,0,1,0,1558,1,0.08,10002,,
321,,0,,0,,0,,0,900001,0,1,0,269,1,0.1,10003,,
322,,0,,0,,0,,0,900001,0,1,0,573,1,0.16,10003,,
324,,0,,0,,0,,0,900001,0,1,0,505,1,0.16,10003,,
325,,0,,0,,0,,0,900001,0,1,0,337,1,0.16,10003,,
326,,0,,0,,0,,0,900001,0,1,0,371,1,0.14,10003,,
327,,0,,0,,0,,0,900001,0,1,0,640,1,0.18,10003,,
328,,0,,0,,0,,0,900001,0,1,0,674,1,0.18,10003,,
331,,0,,0,,0,,0,900001,0,1,0,1263,1,0.05,10003,,
332,,0,,0,,0,,0,900001,0,1,0,1719,1,0.08,10003,,
334,,0,,0,,0,,0,900001,0,1,0,1515,1,0.08,10003,,
335,,0,,0,,0,,0,900001,0,1,0,1011,1,0.08,10003,,
336,,0,,0,,0,,0,900001,0,1,0,1113,1,0.07,10003,,
337,,0,,0,,0,,0,900001,0,1,0,1920,1,0.09,10003,,
338,,0,,0,,0,,0,900001,0,1,0,2022,1,0.09,10003,,
421,,0,,0,,0,,0,900001,0,1,0,323,1,0.08,10004,,
423,,0,,0,,0,,0,900001,0,1,0,1132,1,0.16,10004,,
424,,0,,0,,0,,0,900001,0,1,0,606,1,0.14,10004,,
425,,0,,0,,0,,0,900001,0,1,0,404,1,0.14,10004,,
426,,0,,0,,0,,0,900001,0,1,0,445,1,0.12,10004,,
428,,0,,0,,0,,0,900001,0,1,0,808,1,0.16,10004,,
429,,0,,0,,0,,0,900001,0,1,0,1011,1,0.16,10004,,
431,,0,,0,,0,,0,900001,0,1,0,1516,1,0.04,10004,,
433,,0,,0,,0,,0,900001,0,1,0,2729,1,0.08,10004,,
434,,0,,0,,0,,0,900001,0,1,0,1940,1,0.07,10004,,
435,,0,,0,,0,,0,900001,0,1,0,1637,1,0.07,10004,,
436,,0,,0,,0,,0,900001,0,1,0,1699,1,0.06,10004,,
438,,0,,0,,0,,0,900001,0,1,0,2243,1,0.08,10004,,
439,,0,,0,,0,,0,900001,0,1,0,2548,1,0.08,10004,,
141,,0,,0,,0,,0,900001,0,1,0.35,4500,0.65,0,,,
142,,0,,0,,0,,0,900001,0,1,0.35,5000,0.65,0,,,
241,,0,,0,,0,,0,900001,0,1,0.35,5500,0.65,0,,,
242,,0,,0,,0,,0,900001,0,1,0.35,6000,0.65,0,,,
341,,0,,0,,0,,0,900001,0,1,0.35,6500,0.65,0,,,
342,,0,,0,,0,,0,900001,0,1,0.35,7000,0.65,0,,,
441,,0,,0,,0,,0,900001,0,1,0.35,7500,0.65,0,,,
442,,,,,,,,,,,,,,,,,,
443,,0,,0,,0,,0,900001,0,1,0.35,9000,0.65,0,,,
901,,,,,,,,0,900001,0,1,0,320,1,0,,,
911,,,,,,,,0,900001,0,1,0,3360,1,0,,,
921,,,,,,,,0,900001,0,1,0,800,1,0,,,
931,,,,,,,,0,900001,0,1,0,8400,1,0,,,
941,,,,,,,,0,900001,0,1,0,2240,1,0,,,
951,,,,,,,,0,900001,0,1,0,23520,1,0,,,
902,100002,0.12,100003,0.08,100004,0.05,,0,900001,0,1,0,320,0.75,0,,,
912,100007,1,,0,,0,,0,900001,0,1,0,3360,0,0,,,
922,100003,0.05,100004,0.1,100005,0.1,,0,900001,0,1,0,800,0.75,0,,,
932,100010,1,,0,,0,,0,900001,0,1,0,8400,0,0,,,
942,100006,0.07,100007,0.09,100008,0.09,,0,900001,0,1,0,2240,0.75,0,,,
952,100014,1,,0,,0,,0,900001,0,1,0,23520,0,0,,,
