ID,Item1,Item2,Item3,HellItem1,HellItem2,HellItem3,EXP_0,EXP_1,EXP_2,Gold1,Gold1Rate,Gold2,Gold2Rate,Meat,Material1,Material1Rate,Material2,Material2Rate,HellGold1,HellGold1Rate,HellGold2,HellGold2Rate,HellMeat,HellMaterial1,HellMaterial1Rate,HellMaterial2,HellMaterial2Rate,WeeklyDungeon
1,11001,13001,15001,71017,72017,73017,750,5000,500000,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
2,31001,32001,33001,21010,22010,23010,950,5400,511750,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
3,41001,42001,43001,31011,32011,33011,1160,5820,523590,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
4,51001,52001,53001,41011,42011,43011,1380,6260,535520,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
5,71001,72001,73001,71018,72018,73018,1610,6720,547540,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
6,21001,22001,23001,51011,52011,53011,1840,7180,559650,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
7,61001,62001,63001,61010,62010,63010,2080,7660,571850,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
8,31002,32002,33002,21011,22011,23011,2330,8160,584140,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
9,71002,72002,73002,31012,32012,33012,2590,8680,596520,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
10,12001,14001,16001,11009,13009,15009,2860,9220,608990,1500,80,8000,20,1,100001,75,100003,25,4500,80,25000,20,1,100009,75,100011,25,0
11,41002,42002,43002,71019,72019,73019,3130,9760,621560,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
12,51002,52002,53002,41012,42012,43012,3410,10320,634220,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
13,61002,62002,63002,51012,52012,53012,3700,10900,646980,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
14,21002,22002,23002,21012,22012,23012,4000,11500,659830,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
15,11002,13002,16002,71020,72020,73020,4310,12120,672780,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
16,31003,32003,33003,31013,32013,33013,4630,12760,685830,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
17,71003,72003,73003,41013,42013,43013,4960,13420,698970,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
18,41003,42003,43003,51013,52013,53013,5300,14100,712210,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
19,71004,72004,73004,61011,62011,63011,5650,14800,725550,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
20,12002,14002,15002,12009,14009,16009,6020,15540,738990,1500,80,8000,20,1,100002,75,100004,25,4500,80,25000,20,1,100009,75,100011,25,0
21,51003,52003,53003,71021,72021,73021,8400,20300,752530,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
22,71005,72005,73005,21013,22013,23013,8860,21220,766170,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
23,61003,62003,63003,61012,62012,63012,9330,22160,779920,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
24,31004,32004,33004,21014,22014,23014,9820,23140,793770,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
25,12003,14003,16003,71022,72022,73022,10320,24140,807720,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
26,71006,72006,73006,31014,32014,33014,10840,25180,821780,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
27,21003,22003,23003,41014,42014,43014,11380,26260,835940,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
28,41004,42004,43004,51014,52014,53014,11940,27380,850210,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
29,51004,52004,53004,61013,62013,63013,12510,28520,864590,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
30,11003,13003,15003,11010,13010,15010,13100,29700,879070,2200,80,12000,20,1,100003,75,100005,25,5400,80,30000,20,1,100010,75,100012,25,0
31,21004,22004,23004,71023,72023,73023,13710,30920,893660,2200,80,12000,20,1,100004,75,100006,25,5400,80,30000,20,1,100010,75,100012,25,0
