Wave,Item1,Rate1,Item2,Rate2,Item3,Rate3,Item4,Rate4,Item5,Rate5
0,900001,100,,,,,,,,
1,80001,100,,,,,,,,
2,80001,75,80002,25,,,,,,
3,80001,60,80002,40,,,,,,
4,80001,50,80002,45,80003,5,,,,
5,80001,30,80002,55,80003,15,,,,
6,80001,15,80002,50,80003,35,,,,
7,80002,35,80003,50,80004,15,,,,
8,80002,15,80003,50,80004,35,,,,
9,80003,35,80004,50,80005,15,,,,
10,80003,15,80004,50,80005,35,,,,
11,80004,35,80005,50,80006,15,,,,
12,80004,15,80005,50,80006,35,,,,
13,80005,35,80006,50,80007,15,,,,
14,80005,15,80006,50,80007,35,,,,
15,80006,35,80007,50,80008,15,,,,
16,80006,15,80007,50,80008,35,,,,
17,80007,35,80008,50,80009,15,,,,
18,80007,15,80008,50,80009,35,,,,
19,80008,35,80009,50,80010,15,,,,
20,80008,15,80009,50,80010,35,,,,
21,80009,35,80010,50,80011,15,,,,
22,80009,15,80010,50,80011,35,,,,
23,80010,35,80011,50,80012,15,,,,
24,80010,15,80011,50,80012,35,,,,
25,80011,35,80012,50,80013,15,,,,
26,80011,15,80012,50,80013,35,,,,
27,80012,35,80013,50,80014,15,,,,
28,80012,15,80013,50,80014,35,,,,
29,80013,35,80014,50,80015,15,,,,
30,80013,15,80014,50,80015,35,,,,
31,80014,35,80015,50,80016,15,,,,
32,80014,15,80015,50,80016,35,,,,
33,80015,35,80016,50,80017,15,,,,
34,80015,15,80016,50,80017,35,,,,
35,80016,35,80017,50,80018,15,,,,
36,80016,15,80017,50,80018,35,,,,
37,80017,35,80018,50,80019,15,,,,
38,80017,15,80018,50,80019,35,,,,
39,80018,35,80019,50,80020,15,,,,
40,80018,15,80019,50,80020,35,,,,
41,80019,35,80020,50,80021,15,,,,
42,80019,15,80020,50,80021,35,,,,
43,80020,35,80021,50,80022,15,,,,
44,80020,15,80021,50,80022,35,,,,
45,80021,35,80022,50,80023,15,,,,
46,80021,15,80022,50,80023,35,,,,
47,80022,50,80023,50,,,,,,
48,80023,50,80024,50,,,,,,
