LV,EXP,SUM_EXP
0,1200000,1200000 
1,1504000,2704000 
2,1809000,4513000 
3,2114000,6627000 
4,2420000,9047000 
5,2727000,11774000 
6,3035000,14809000 
7,3344000,18153000 
8,3654000,21807000 
9,3965000,25772000 
10,4277000,30049000 
11,4590000,34639000 
12,4904000,39543000 
13,5219000,44762000 
14,5535000,50297000 
15,5852000,56149000 
16,6170000,62319000 
17,6489000,68808000 
18,6808000,75616000 
19,7128000,82744000 
20,7449000,90193000 
21,7771000,97964000 
22,8094000,106058000 
23,8418000,114476000 
24,8743000,123219000 
25,9069000,132288000 
26,9396000,141684000 
27,9724000,151408000 
28,10053000,161461000 
29,10383000,171844000 
30,10714000,182558000 
31,11046000,193604000 
32,11379000,204983000 
33,11713000,216696000 
34,12048000,228744000 
35,12384000,241128000 
36,12721000,253849000 
37,13059000,266908000 
38,13398000,280306000 
39,13738000,294044000 
40,14079000,308123000 
41,14421000,322544000 
42,14764000,337308000 
43,15108000,352416000 
44,15453000,367869000 
45,15799000,383668000 
46,16146000,399814000 
47,16494000,416308000 
48,16843000,433151000 
49,17194000,450345000 
50,17546000,467891000 
51,17899000,485790000 
52,18253000,504043000 
53,18608000,522651000 
54,18964000,541615000 
55,19321000,560936000 
56,19679000,580615000 
57,20038000,600653000 
58,20398000,621051000 
59,20759000,641810000 
60,21121000,662931000 
61,21484000,684415000 
62,21848000,706263000 
63,22214000,728477000 
64,22581000,751058000 
65,22949000,774007000 
66,23318000,797325000 
67,23688000,821013000 
68,24059000,845072000 
69,24431000,869503000 
70,24804000,894307000 
71,25178000,919485000 
72,25554000,945039000 
73,25931000,970970000 
74,26309000,997279000 
75,26688000,1023967000 
76,27068000,1051035000 
77,27449000,1078484000 
78,27831000,1106315000 
79,28214000,1134529000 
80,28599000,1163128000 
81,28985000,1192113000 
82,29372000,1221485000 
83,29760000,1251245000 
84,30149000,1281394000 
85,30539000,1311933000 
86,30931000,1342864000 
87,31324000,1374188000 
88,31718000,1405906000 
89,32113000,1438019000 
90,32509000,1470528000 
91,32907000,1503435000 
92,33306000,1536741000 
93,33706000,1570447000 
94,34107000,1604554000 
95,34509000,1639063000 
96,34913000,1673976000 
97,35318000,1709294000 
98,35724000,1745018000 
99,36131000,1781149000 
100,36539000,1817688000 
101,36949000,1854637000 
102,37360000,1891997000 
103,37772000,1929769000 
104,38185000,1967954000 
105,38600000,2006554000 
106,39016000,2045570000 
107,39433000,2085003000 
108,39851000,2124854000 
109,40271000,2165125000 
110,40692000,2205817000 
111,41114000,2246931000 
112,41537000,2288468000 
113,41962000,2330430000 
114,42388000,2372818000 
115,42815000,2415633000 
116,43243000,2458876000 
117,43673000,2502549000 
118,44104000,2546653000 
119,44536000,2591189000 
120,44970000,2636159000 
121,45405000,2681564000 
122,45841000,2727405000 
123,46279000,2773684000 
124,46718000,2820402000 
125,47158000,2867560000 
126,47599000,2915159000 
127,48042000,2963201000 
128,48486000,3011687000 
129,48931000,3060618000 
130,49378000,3109996000 
131,49826000,3159822000 
132,50275000,3210097000 
133,50726000,3260823000 
134,51178000,3312001000 
135,51632000,3363633000 
136,52087000,3415720000 
137,52543000,3468263000 
138,53001000,3521264000 
139,53460000,3574724000 
140,53920000,3628644000 
141,54382000,3683026000 
142,54845000,3737871000 
143,55310000,3793181000 
144,55776000,3848957000 
145,56243000,3905200000 
146,56712000,3961912000 
147,57182000,4019094000 
148,57654000,4076748000 
149,58127000,4134875000 
150,58601000,4193476000 
151,59077000,4252553000 
152,59554000,4312107000 
153,60033000,4372140000 
154,60513000,4432653000 
155,60995000,4493648000 
156,61478000,4555126000 
157,61962000,4617088000 
158,62448000,4679536000 
159,62935000,4742471000 
160,63424000,4805895000 
161,63914000,4869809000 
162,64406000,4934215000 
163,64899000,4999114000 
164,65394000,5064508000 
165,65890000,5130398000 
166,66388000,5196786000 
167,66887000,5263673000 
168,67388000,5331061000 
169,67890000,5398951000 
170,68394000,5467345000 
171,68899000,5536244000 
172,69406000,5605650000 
173,69914000,5675564000 
174,70424000,5745988000 
175,70935000,5816923000 
176,71448000,5888371000 
177,71962000,5960333000 
178,72478000,6032811000 
179,72995000,6105806000 
180,73514000,6179320000 
181,74035000,6253355000 
182,74557000,6327912000 
183,75081000,6402993000 
184,75606000,6478599000 
185,76133000,6554732000 
186,76661000,6631393000 
187,77191000,6708584000 
188,77723000,6786307000 
189,78256000,6864563000 
190,78791000,6943354000 
191,79327000,7022681000 
192,79865000,7102546000 
193,80405000,7182951000 
194,80946000,7263897000 
195,81489000,7345386000 
196,82033000,7427419000 
197,82579000,7509998000 
198,83127000,7593125000 
199,83676000,7676801000 
200,84227000,7761028000 
201,84780000,7845808000 
202,85334000,7931142000 
203,85890000,8017032000 
204,86448000,8103480000 
205,87007000,8190487000 
206,87568000,8278055000 
207,88131000,8366186000 
208,88695000,8454881000 
209,89261000,8544142000 
210,89829000,8633971000 
211,90398000,8724369000 
212,90969000,8815338000 
213,91542000,8906880000 
214,92117000,8998997000 
215,92693000,9091690000 
216,93271000,9184961000 
217,93851000,9278812000 
218,94433000,9373245000 
219,95016000,9468261000 
220,95601000,9563862000 
221,96188000,9660050000 
222,96777000,9756827000 
223,97367000,9854194000 
224,97959000,9952153000 
225,98553000,10050706000 
226,99149000,10149855000 
227,99746000,10249601000 
228,100345000,10349946000 
229,100946000,10450892000 
230,101549000,10552441000 
231,102154000,10654595000 
232,102760000,10757355000 
233,103368000,10860723000 
234,103978000,10964701000 
235,104590000,11069291000 
236,105204000,11174495000 
237,105820000,11280315000 
238,106437000,11386752000 
239,107056000,11493808000 
240,107677000,11601485000 
241,108300000,11709785000 
242,108925000,11818710000 
243,109552000,11928262000 
244,110181000,12038443000 
245,110812000,12149255000 
246,111444000,12260699000 
247,112078000,12372777000 
248,112714000,12485491000 
249,113352000,12598843000 
250,113992000,12712835000 
251,114634000,12827469000 
252,115278000,12942747000 
253,115924000,13058671000 
254,116572000,13175243000 
255,117222000,13292465000 
256,117874000,13410339000 
257,118528000,13528867000 
258,119184000,13648051000 
259,119842000,13767893000 
260,120502000,13888395000 
261,121164000,14009559000 
262,121827000,14131386000 
263,122492000,14253878000 
264,123159000,14377037000 
265,123828000,14500865000 
266,124499000,14625364000 
267,125172000,14750536000 
268,125848000,14876384000 
269,126526000,15002910000 
270,127206000,15130116000 
271,127888000,15258004000 
272,128572000,15386576000 
273,129258000,15515834000 
274,129946000,15645780000 
275,130636000,15776416000 
276,131328000,15907744000 
277,132022000,16039766000 
278,132718000,16172484000 
279,133416000,16305900000 
280,134116000,16440016000 
281,134818000,16574834000 
282,135522000,16710356000 
283,136229000,16846585000 
284,136938000,16983523000 
285,137649000,17121172000 
286,138362000,17259534000 
287,139077000,17398611000 
288,139794000,17538405000 
289,140513000,17678918000 
290,141235000,17820153000 
291,141959000,17962112000 
292,142685000,18104797000 
293,143413000,18248210000 
294,144143000,18392353000 
295,144875000,18537228000 
296,145610000,18682838000 
297,146347000,18829185000 
298,147086000,18976271000 
299,147827000,19124098000 
300,148570000,19272668000 
301,149316000,19421984000 
302,150064000,19572048000 
303,150814000,19722862000 
304,151566000,19874428000 
305,152321000,20026749000 
306,153078000,20179827000 
307,153837000,20333664000 
308,154599000,20488263000 
309,155363000,20643626000 
310,156129000,20799755000 
311,156897000,20956652000 
312,157668000,21114320000 
