ID,LV_low,LV_High,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21,Item_22,Item_23,Item_24,Item_25,Item_26,Item_27,Item_28,Item_29,Item_30,Item_31,Item_32,Item_33,Item_34,Item_35,Item_36,Item_37,Item_38,Item_39,Item_40,Item_41,Item_42,Item_43,Item_44,Item_45
1,1,3,11001,13001,15001,31001,32001,33001,41001,42001,43001,51001,52001,53001,71001,72001,73001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,6,21001,22001,23001,61001,62001,63001,31002,32002,33002,71002,72002,73002,12001,14001,16001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,9,41002,42002,43002,51002,52002,53002,61002,62002,63002,21002,22002,23002,11002,13002,16002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,12,31003,32003,33003,71003,72003,73003,41003,42003,43003,71004,72004,73004,12002,14002,15002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,15,51003,52003,53003,71005,72005,73005,61003,62003,63003,31004,32004,33004,12003,14003,16003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,18,71006,72006,73006,21003,22003,23003,41004,42004,43004,51004,52004,53004,11003,13003,15003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19,21,21004,22004,23004,71007,72007,73007,51005,52005,53005,31005,32005,33005,11004,13004,16004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,22,24,41005,42005,43005,61004,62004,63004,71008,72008,73008,21005,22005,23005,12004,14004,15004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25,27,41006,42006,43006,71009,72009,73009,61005,62005,63005,31006,32006,33006,12005,14005,16005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,28,30,51006,52006,53006,21006,22006,23006,71010,72010,73010,61006,62006,63006,11005,13005,15005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,31,33,51007,52007,53007,71011,72011,73011,31007,32007,33007,41007,42007,43007,11006,13006,16006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,34,36,71012,72012,73012,61007,62007,63007,51008,52008,53008,21007,22007,23007,12006,14006,15006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,37,39,71013,72013,73013,41008,42008,43008,61008,62008,63008,31008,32008,33008,12007,13007,15007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,40,40,71014,72014,73014,21008,22008,23008,41009,42009,43009,51009,52009,53009,11007,14007,16007,71015,72015,73015,31009,32009,33009,61009,62009,63009,41010,42010,43010,12008,13008,15008,71016,72016,73016,51010,52010,53010,31010,32010,33010,21009,22009,23009,11008,14008,16008
