ID,ItemID1,ItemCount1,ItemID2,ItemCount2,ItemID3,ItemCount3,ItemID4,ItemCount4,StageAct
900111,101101,1,,,,,,,1
900112,101101,1,101102,1,,,,,1
900113,101101,1,101102,1,101103,1,,,1
900114,,,101102,1,101103,1,101104,1,1
900115,,,101102,1,101104,1,101204,1,1
900121,101201,1,,,,,,,1
900122,101201,1,101202,1,,,,,1
900123,101201,1,101202,1,101203,1,,,1
900124,,,101202,1,101203,1,101204,1,1
900125,,,101202,1,101204,1,101304,1,1
900131,101301,1,,,,,,,1
900132,101301,1,101302,1,,,,,1
900133,101301,1,101302,1,101303,1,,,1
900134,,,101302,1,101303,1,101304,1,1
900135,,,101302,1,101304,1,101404,1,1
900141,101401,1,,,,,,,1
900142,101401,1,101102,1,,,,,1
900143,101401,1,101102,1,101203,1,,,1
900144,,,101102,1,101203,1,101304,1,1
900145,,,101102,1,101304,1,101404,1,1
900151,101301,1,,,,,,,1
900152,101301,1,101302,1,,,,,1
900153,101301,1,101302,1,101403,1,,,1
900154,,,101302,1,101403,1,101404,1,1
900155,,,101302,1,101404,1,101104,1,1
900161,101201,1,,,,,,,1
900162,101201,1,101402,1,,,,,1
900163,101201,1,101402,1,101103,1,,,1
900164,,,101402,1,101103,1,101204,1,1
900165,,,101402,1,101104,1,101204,1,1
900171,101401,1,,,,,,,1
900172,101401,1,101402,1,,,,,1
900173,101401,1,101402,1,101203,1,,,1
900174,,,101402,1,101203,1,101104,1,1
900175,,,101402,1,101104,1,101204,1,1
900181,101101,1,,,,,,,1
900182,101101,1,101202,1,,,,,1
900183,101101,1,101202,1,101303,1,,,1
900184,,,101202,1,101303,1,101404,1,1
900185,,,101202,1,101304,1,101404,1,1
900211,102101,1,,,,,,,2
900212,102101,1,102102,1,,,,,2
900213,102101,1,102102,1,102103,1,,,2
900214,,,102102,1,102103,1,102104,1,2
900215,,,102102,1,102104,1,102204,1,2
900221,102201,1,,,,,,,2
900222,102201,1,102202,1,,,,,2
900223,102201,1,102202,1,102203,1,,,2
900224,,1,102202,1,102203,1,102204,1,2
900225,,,102202,1,102204,1,102304,1,2
900231,102301,1,,,,,,,2
900232,102301,1,102302,1,,,,,2
900233,102301,1,102302,1,102303,1,,,2
900234,,,102302,1,102303,1,102304,1,2
900235,,,102302,1,102304,1,102404,1,2
900241,102401,1,,,,,,,2
900242,102401,1,102102,1,,,,,2
900243,102401,1,102102,1,102203,1,,,2
900244,,,102102,1,102203,1,102304,1,2
900245,,,102102,1,102304,1,102404,1,2
900251,102301,1,,,,,,,2
900252,102301,1,102302,1,,,,,2
900253,102301,1,102302,1,102403,1,,,2
900254,,,102302,1,102403,1,102404,1,2
900255,,,102302,1,102404,1,102104,1,2
900261,102201,1,,,,,,,2
900262,102201,1,102402,1,,,,,2
900263,102201,1,102402,1,102103,1,,,2
900264,,,102402,1,102103,1,102204,1,2
900265,,,102402,1,102104,1,102204,1,2
900271,102401,1,,,,,,,2
900272,102401,1,102402,1,,,,,2
900273,102401,1,102402,1,102203,1,,,2
900274,,,102402,1,102203,1,102104,1,2
900275,,,102402,1,102204,1,102104,1,2
900281,102101,1,,,,,,,2
900282,102101,1,102202,1,,,,,2
900283,102101,1,102202,1,102303,1,,,2
900284,,,102202,1,102303,1,102404,1,2
900285,,,102202,1,102404,1,102104,1,2
900311,103101,1,,,,,,,3
900312,103101,1,103102,1,,,,,3
900313,103101,1,103102,1,103103,1,,,3
900314,,,103102,1,103103,1,103104,1,3
900315,,,103102,1,103104,1,103204,1,3
